chimpanzee, noun, General, A2
chin, noun, General, A2
chirp, noun, General, A2
chocolate, noun, General, A1
choice, noun, General, A2
choir, noun, General, B1
choke, verb, General, B1
choose, verb, General, A1
Christian, adjective, General, B1
chronological, adjective, General, B1
chuckle, noun, General, B1
church, noun, General, A1
cigarette, noun, General, A2
cinema, noun, General, A1
circle, noun, General, A1
circle, verb, General, B1
circular, adjective, General, B1
circus, noun, General, B1
citizen, noun, General, A2
citizenship, noun, General, B1
city, noun, General, A1
civil, adjective, General, B1
civilization/civilisation, noun, General, B1
claim, noun, General, B1
claim, verb, General, A2
class, noun, General, A1
classic, adjective, General, A2
classical, adjective, General, B1
classical music, noun, General, A2
classify, verb, General, B1
classmate, noun, General, A1
classroom, noun, General, A1
clean, adjective, General, A1
clean, verb, General, A1
cleaner, noun, General, A2
clear, adjective, General, A2
clear, verb, General, B1
clearly, adverb, General, A2
clerk, noun, General, A2
clever, adjective, General, A1
click, noun, General, B1
click, verb, General, A2
cliff, noun, General, B1
climate, noun, General, B1
climb, noun, General, A1
climb, verb, General, A2
climber, noun, General, B1
climbing, noun, General, A2
clinic, noun, General, B1
clip, noun, General, B1
clock, noun, General, A1
clone, verb, General, A2
close, adjective, General, A1
close, verb, General, A1
closed, adjective, General, A1
closely, adverb, General, B1
cloth, noun, General, A1
clothes, noun, General, A1
cloud, noun, General, A1
cloudy, adjective, General, A1
clown, noun, General, A2
club, noun, General, A1
clue, noun, General, A2
coach, noun, General, A1
coal, noun, General, B1
coast, noun, General, A2
coast, verb, General, B1
coastal, adjective, General, B1
coat, noun, clothes, A1
cod, noun, General, B1
code, noun, General, A1
coffee, noun, General, A1
coffin, noun, General, B1
coin, noun, General, A2
coke, noun, General, A1
cola, noun, General, A2
cold, adjective, General, A1
cold, noun, General, A1
collapse, noun, General, B1
collar, noun, General, B1
collect, verb, General, A1
collection, noun, General, A1
college, noun, General, A1
color/colour, noun, General, A1
color/colour, verb, General, A1
colorful/colourful, adjective, General, A2
column, noun, General, A2
columnist, noun, General, B1
comb, noun, General, A2
combination, noun, General, B1
combine, verb, General, B1
